motif	ID	Name	Species	Class	Family
MA0739.1_Hic1	MA0739.1	Hic1	Mus musculus	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers
MA0740.1_KLF14	MA0740.1	KLF14	Homo sapiens	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors
MA0741.1_KLF16	MA0741.1	KLF16	Homo sapiens	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors
MA0742.1_Klf12	MA0742.1	Klf12	Mus musculus	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors
MA0747.1_SP8	MA0747.1	SP8	Homo sapiens	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors
MA0749.1_ZBED1	MA0749.1	ZBED1	Homo sapiens	C2H2 zinc finger factors	BED zinc finger factors
MA0751.1_ZIC4	MA0751.1	ZIC4	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0088.2_ZNF143	MA0088.2	ZNF143	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0752.1_ZNF410	MA0752.1	ZNF410	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0754.1_CUX1	MA0754.1	CUX1	Homo sapiens	Homeo domain factors	HD-CUT factors
MA0755.1_CUX2	MA0755.1	CUX2	Homo sapiens	Homeo domain factors	HD-CUT factors
MA0756.1_ONECUT2	MA0756.1	ONECUT2	Homo sapiens	Homeo domain factors	HD-CUT factors
MA0757.1_ONECUT3	MA0757.1	ONECUT3	Homo sapiens	Homeo domain factors	HD-CUT factors
MA0758.1_E2F7	MA0758.1	E2F7	Homo sapiens	Fork head / winged helix factors	E2F-related factors
MA0759.1_ELK3	MA0759.1	ELK3	Homo sapiens	Tryptophan cluster factors	Ets-related factors
MA0760.1_ERF	MA0760.1	ERF	Homo sapiens	Tryptophan cluster factors	Ets-related factors
MA0474.2_ERG	MA0474.2	ERG	Homo sapiens	Tryptophan cluster factors	Ets-related factors
MA0098.3_ETS1	MA0098.3	ETS1	Homo sapiens	Tryptophan cluster factors	Ets-related factors
MA0762.1_ETV2	MA0762.1	ETV2	Homo sapiens	Tryptophan cluster factors	Ets-related factors
MA0763.1_ETV3	MA0763.1	ETV3	Homo sapiens	Tryptophan cluster factors	Ets-related factors
MA0156.2_FEV	MA0156.2	FEV	Homo sapiens	Tryptophan cluster factors	Ets-related factors
MA0767.1_GCM2	MA0767.1	GCM2	Homo sapiens	GCM domain factors	GCM factors
MA0768.1_LEF1	MA0768.1	LEF1	Homo sapiens	High-mobility group (HMG) domain factors	TCF-7-related factors
MA0770.1_HSF2	MA0770.1	HSF2	Homo sapiens	Heat shock factors	HSF factors
MA0771.1_HSF4	MA0771.1	HSF4	Homo sapiens	Heat shock factors	HSF factors
MA0772.1_IRF7	MA0772.1	IRF7	Homo sapiens	Tryptophan cluster factors	Interferon-regulatory factors
MA0773.1_MEF2D	MA0773.1	MEF2D	Homo sapiens	MADS box factors	Regulators of differentiation
MA0498.2_MEIS1	MA0498.2	MEIS1	Homo sapiens	Homeo domain factors	TALE-type homeo domain factors
MA0774.1_MEIS2	MA0774.1	MEIS2	Homo sapiens	Homeo domain factors	TALE-type homeo domain factors
MA0775.1_MEIS3	MA0775.1	MEIS3	Homo sapiens	Homeo domain factors	TALE-type homeo domain factors
MA0776.1_MYBL1	MA0776.1	MYBL1	Homo sapiens	Tryptophan cluster factors	Myb/SANT domain factors
MA0777.1_MYBL2	MA0777.1	MYBL2	Homo sapiens	Tryptophan cluster factors	Myb/SANT domain factors
MA0105.4_NFKB1	MA0105.4	NFKB1	Homo sapiens	Rel homology region (RHR) factors	NF-kappaB-related factors
MA0778.1_NFKB2	MA0778.1	NFKB2	Homo sapiens	Rel homology region (RHR) factors	NF-kappaB-related factors
MA0779.1_PAX1	MA0779.1	PAX1	Homo sapiens	Paired box factors	Paired domain only
MA0780.1_PAX3	MA0780.1	PAX3	Homo sapiens	Paired box factors	Paired plus homeo domain
MA0781.1_PAX9	MA0781.1	PAX9	Homo sapiens	Paired box factors	Paired domain only
MA0783.1_PKNOX2	MA0783.1	PKNOX2	Homo sapiens	Homeo domain factors	TALE-type homeo domain factors
MA0784.1_POU1F1	MA0784.1	POU1F1	Homo sapiens	Homeo domain factors	POU domain factors
MA0785.1_POU2F1	MA0785.1	POU2F1	Homo sapiens	Homeo domain factors	POU domain factors
MA0786.1_POU3F1	MA0786.1	POU3F1	Homo sapiens	Homeo domain factors	POU domain factors
MA0787.1_POU3F2	MA0787.1	POU3F2	Homo sapiens	Homeo domain factors	POU domain factors
MA0788.1_POU3F3	MA0788.1	POU3F3	Homo sapiens	Homeo domain factors	POU domain factors
MA0789.1_POU3F4	MA0789.1	POU3F4	Homo sapiens	Homeo domain factors	POU domain factors
MA0790.1_POU4F1	MA0790.1	POU4F1	Homo sapiens	Homeo domain factors	POU domain factors
MA0791.1_POU4F3	MA0791.1	POU4F3	Homo sapiens	Homeo domain factors	POU domain factors
MA0792.1_POU5F1B	MA0792.1	POU5F1B	Homo sapiens	Homeo domain factors	POU domain factors
MA0793.1_POU6F2	MA0793.1	POU6F2	Homo sapiens	Homeo domain factors	POU domain factors
MA0794.1_PROX1	MA0794.1	PROX1	Homo sapiens	Homeo domain factors	HD-PROS factors
MA0600.2_RFX2	MA0600.2	RFX2	Homo sapiens	Fork head / winged helix factors	RFX-related factors
MA0795.1_SMAD3	MA0795.1	SMAD3	Homo sapiens	SMAD/NF-1 DNA-binding domain factors	SMAD factors
MA0796.1_TGIF1	MA0796.1	TGIF1	Homo sapiens	Homeo domain factors	TALE-type homeo domain factors
MA0797.1_TGIF2	MA0797.1	TGIF2	Homo sapiens	Homeo domain factors	TALE-type homeo domain factors
MA0799.1_RFX4	MA0799.1	RFX4	Homo sapiens	Fork head / winged helix factors	RFX-related factors
MA0510.2_RFX5	MA0510.2	RFX5	Homo sapiens	Fork head / winged helix factors	RFX-related factors
MA0511.2_RUNX2	MA0511.2	RUNX2	Homo sapiens	Runt domain factors	Runt-related factors
MA0800.1_EOMES	MA0800.1	EOMES	Homo sapiens	T-Box factors	TBrain-related factors
MA0801.1_MGA	MA0801.1	MGA	Homo sapiens	T-Box factors	TBX6-related factors
MA0802.1_TBR1	MA0802.1	TBR1	Homo sapiens	T-Box factors	TBrain-related factors
MA0803.1_TBX15	MA0803.1	TBX15	Homo sapiens	T-Box factors	TBX1-related factors
MA0804.1_TBX19	MA0804.1	TBX19	Homo sapiens	T-Box factors	Brachyury-related factors
MA0805.1_TBX1	MA0805.1	TBX1	Homo sapiens	T-Box factors	TBX1-related factors
MA0806.1_TBX4	MA0806.1	TBX4	Homo sapiens	T-Box factors	TBX2-related factors
MA0807.1_TBX5	MA0807.1	TBX5	Homo sapiens	T-Box factors	TBX2-related factors
MA0808.1_TEAD3	MA0808.1	TEAD3	Homo sapiens	TEA domain factors	TEF-1-related factors
MA0810.1_TFAP2A(var.2)	MA0810.1	TFAP2A(var.2)	Homo sapiens	Basic helix-span-helix factors (bHSH)	AP-2
MA0811.1_TFAP2B	MA0811.1	TFAP2B	Homo sapiens	Basic helix-span-helix factors (bHSH)	AP-2
MA0812.1_TFAP2B(var.2)	MA0812.1	TFAP2B(var.2)	Homo sapiens	Basic helix-span-helix factors (bHSH)	AP-2
MA0813.1_TFAP2B(var.3)	MA0813.1	TFAP2B(var.3)	Homo sapiens	Basic helix-span-helix factors (bHSH)	AP-2
MA0524.2_TFAP2C	MA0524.2	TFAP2C	Homo sapiens	Basic helix-span-helix factors (bHSH)	AP-2
MA0815.1_TFAP2C(var.3)	MA0815.1	TFAP2C(var.3)	Homo sapiens	Basic helix-span-helix factors (bHSH)	AP-2
MA0816.1_Ascl2	MA0816.1	Ascl2	Mus musculus	Basic helix-loop-helix factors (bHLH)	MyoD / ASC-related factors
MA0461.2_Atoh1	MA0461.2	Atoh1	Mus musculus	Basic helix-loop-helix factors (bHLH)	Tal-related factors
MA0464.2_BHLHE40	MA0464.2	BHLHE40	Homo sapiens	Basic helix-loop-helix factors (bHLH)	Hairy-related factors
MA0817.1_BHLHE23	MA0817.1	BHLHE23	Homo sapiens	Basic helix-loop-helix factors (bHLH)	Tal-related factors
MA0818.1_BHLHE22	MA0818.1	BHLHE22	Homo sapiens	Basic helix-loop-helix factors (bHLH)	Tal-related factors
MA0819.1_CLOCK	MA0819.1	CLOCK	Homo sapiens	Basic helix-loop-helix factors (bHLH)	PAS domain factors
MA0820.1_FIGLA	MA0820.1	FIGLA	Homo sapiens	Basic helix-loop-helix factors (bHLH)	Tal-related factors
MA0821.1_HES5	MA0821.1	HES5	Homo sapiens	Basic helix-loop-helix factors (bHLH)	Hairy-related factors
MA0822.1_HES7	MA0822.1	HES7	Homo sapiens	Basic helix-loop-helix factors (bHLH)	Hairy-related factors
MA0823.1_HEY1	MA0823.1	HEY1	Homo sapiens	Basic helix-loop-helix factors (bHLH)	Hairy-related factors
MA0058.3_MAX	MA0058.3	MAX	Homo sapiens	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors
MA0825.1_MNT	MA0825.1	MNT	Homo sapiens	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors
MA0826.1_OLIG1	MA0826.1	OLIG1	Homo sapiens	Basic helix-loop-helix factors (bHLH)	Tal-related factors
MA0827.1_OLIG3	MA0827.1	OLIG3	Homo sapiens	Basic helix-loop-helix factors (bHLH)	Tal-related factors
MA0828.1_SREBF2(var.2)	MA0828.1	SREBF2(var.2)	Homo sapiens	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors
MA0832.1_Tcf21	MA0832.1	Tcf21	Mus musculus	Basic helix-loop-helix factors (bHLH)	Tal-related factors
MA0834.1_ATF7	MA0834.1	ATF7	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA0466.2_CEBPB	MA0466.2	CEBPB	Homo sapiens	Basic leucine zipper factors (bZIP)	C/EBP-related factors
MA0837.1_CEBPE	MA0837.1	CEBPE	Homo sapiens	Basic leucine zipper factors (bZIP)	C/EBP-related factors
MA0838.1_CEBPG	MA0838.1	CEBPG	Homo sapiens	Basic leucine zipper factors (bZIP)	C/EBP-related factors
MA0839.1_CREB3L1	MA0839.1	CREB3L1	Homo sapiens	Basic leucine zipper factors (bZIP)	CREB-related factors
MA0840.1_Creb5	MA0840.1	Creb5	Mus musculus	Basic leucine zipper factors (bZIP)	CREB-related factors
MA0117.2_Mafb	MA0117.2	Mafb	Mus musculus	Basic leucine zipper factors (bZIP)	Maf-related factors
MA0841.1_NFE2	MA0841.1	NFE2	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA0843.1_TEF	MA0843.1	TEF	Homo sapiens	TEA domain factors	TEF-1-related factors
MA0844.1_XBP1	MA0844.1	XBP1	Homo sapiens	Basic leucine zipper factors (bZIP)	XBP-1-related factors
MA0845.1_FOXB1	MA0845.1	FOXB1	Homo sapiens	Fork head / winged helix factors	Forkhead box (FOX) factors
MA0032.2_FOXC1	MA0032.2	FOXC1	Homo sapiens	Fork head / winged helix factors	Forkhead box (FOX) factors
MA0846.1_FOXC2	MA0846.1	FOXC2	Homo sapiens	Fork head / winged helix factors	Forkhead box (FOX) factors
MA0848.1_FOXO4	MA0848.1	FOXO4	Homo sapiens	Fork head / winged helix factors	Forkhead box (FOX) factors
MA0849.1_FOXO6	MA0849.1	FOXO6	Homo sapiens	Fork head / winged helix factors	Forkhead box (FOX) factors
MA0850.1_FOXP3	MA0850.1	FOXP3	Homo sapiens	Fork head / winged helix factors	Forkhead box (FOX) factors
MA0851.1_Foxj3	MA0851.1	Foxj3	Mus musculus	Fork head / winged helix factors	Forkhead box (FOX) factors
MA0853.1_Alx4	MA0853.1	Alx4	Mus musculus	Homeo domain factors	Paired-related HD factors
MA0854.1_Alx1	MA0854.1	Alx1	Mus musculus	Homeo domain factors	Paired-related HD factors
MA0855.1_RXRB	MA0855.1	RXRB	Homo sapiens	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
MA0856.1_RXRG	MA0856.1	RXRG	Homo sapiens	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
MA0857.1_Rarb	MA0857.1	Rarb	Mus musculus	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
MA0858.1_Rarb(var.2)	MA0858.1	Rarb(var.2)	Mus musculus	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
MA0859.1_Rarg	MA0859.1	Rarg	Mus musculus	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
MA0860.1_Rarg(var.2)	MA0860.1	Rarg(var.2)	Mus musculus	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
MA0525.2_TP63	MA0525.2	TP63	Homo sapiens	p53 domain factors	p53-related factors
MA0106.3_TP53	MA0106.3	TP53	Homo sapiens	p53 domain factors	p53-related factors
MA0861.1_TP73	MA0861.1	TP73	Homo sapiens	p53 domain factors	p53-related factors
MA0862.1_GMEB2	MA0862.1	GMEB2	Homo sapiens	SAND domain factors	GMEB
MA0863.1_MTF1	MA0863.1	MTF1	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0024.3_E2F1	MA0024.3	E2F1	Homo sapiens	Fork head / winged helix factors	E2F-related factors
MA0865.1_E2F8	MA0865.1	E2F8	Homo sapiens	Fork head / winged helix factors	E2F-related factors
MA0866.1_SOX21	MA0866.1	SOX21	Homo sapiens	High-mobility group (HMG) domain factors	SOX-related factors
MA0869.1_Sox11	MA0869.1	Sox11	Mus musculus	High-mobility group (HMG) domain factors	SOX-related factors
MA0870.1_Sox1	MA0870.1	Sox1	Mus musculus	High-mobility group (HMG) domain factors	SOX-related factors
MA0872.1_TFAP2A(var.3)	MA0872.1	TFAP2A(var.3)	Homo sapiens	Basic helix-span-helix factors (bHSH)	AP-2
MA0028.2_ELK1	MA0028.2	ELK1	Homo sapiens	Tryptophan cluster factors	Ets-related factors
MA0873.1_HOXD12	MA0873.1	HOXD12	Homo sapiens	Homeo domain factors	HOX-related factors
MA0874.1_Arx	MA0874.1	Arx	Mus musculus	Homeo domain factors	Paired-related HD factors
MA0875.1_BARX1	MA0875.1	BARX1	Homo sapiens	Homeo domain factors	NK-related factors
MA0876.1_BSX	MA0876.1	BSX	Homo sapiens	Homeo domain factors	NK-related factors
MA0879.1_Dlx1	MA0879.1	Dlx1	Mus musculus	Homeo domain factors	NK-related factors
MA0880.1_Dlx3	MA0880.1	Dlx3	Mus musculus	Homeo domain factors	NK-related factors
MA0881.1_Dlx4	MA0881.1	Dlx4	Mus musculus	Homeo domain factors	NK-related factors
MA0882.1_DLX6	MA0882.1	DLX6	Homo sapiens	Homeo domain factors	NK-related factors
MA0883.1_Dmbx1	MA0883.1	Dmbx1	Mus musculus	Homeo domain factors	Paired-related HD factors
MA0884.1_DUXA	MA0884.1	DUXA	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0885.1_Dlx2	MA0885.1	Dlx2	Mus musculus	Homeo domain factors	NK-related factors
MA0886.1_EMX2	MA0886.1	EMX2	Homo sapiens	Homeo domain factors	NK-related factors
MA0887.1_EVX1	MA0887.1	EVX1	Homo sapiens	Homeo domain factors	HOX-related factors
MA0888.1_EVX2	MA0888.1	EVX2	Homo sapiens	Homeo domain factors	HOX-related factors
MA0889.1_GBX1	MA0889.1	GBX1	Homo sapiens	Homeo domain factors	HOX-related factors
MA0890.1_GBX2	MA0890.1	GBX2	Homo sapiens	Homeo domain factors	HOX-related factors
MA0891.1_GSC2	MA0891.1	GSC2	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0892.1_GSX1	MA0892.1	GSX1	Homo sapiens	Homeo domain factors	HOX-related factors
MA0894.1_HESX1	MA0894.1	HESX1	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0895.1_HMBOX1	MA0895.1	HMBOX1	Homo sapiens	Homeo domain factors	POU domain factors
MA0896.1_Hmx1	MA0896.1	Hmx1	Mus musculus	Homeo domain factors	NK-related factors
MA0897.1_Hmx2	MA0897.1	Hmx2	Mus musculus	Homeo domain factors	NK-related factors
MA0898.1_Hmx3	MA0898.1	Hmx3	Mus musculus	Homeo domain factors	NK-related factors
MA0899.1_HOXA10	MA0899.1	HOXA10	Homo sapiens	Homeo domain factors	HOX-related factors
MA0903.1_HOXB3	MA0903.1	HOXB3	Homo sapiens	Homeo domain factors	HOX-related factors
MA0905.1_HOXC10	MA0905.1	HOXC10	Homo sapiens	Homeo domain factors	HOX-related factors
MA0906.1_HOXC12	MA0906.1	HOXC12	Homo sapiens	Homeo domain factors	HOX-related factors
MA0907.1_HOXC13	MA0907.1	HOXC13	Homo sapiens	Homeo domain factors	HOX-related factors
MA0908.1_HOXD11	MA0908.1	HOXD11	Homo sapiens	Homeo domain factors	HOX-related factors
MA0911.1_Hoxa11	MA0911.1	Hoxa11	Mus musculus	Homeo domain factors	HOX-related factors
MA0914.1_ISL2	MA0914.1	ISL2	Homo sapiens	Homeo domain factors	HD-LIM factors
MA0852.2_FOXK1	MA0852.2	FOXK1	Homo sapiens	Fork head / winged helix factors	Forkhead box (FOX) factors
MA0036.3_GATA2	MA0036.3	GATA2	Homo sapiens	Other C4 zinc finger-type factors	GATA-type zinc fingers
MA1106.1_HIF1A	MA1106.1	HIF1A	Homo sapiens	Basic helix-loop-helix factors (bHLH)	PAS domain factors
MA0147.3_MYC	MA0147.3	MYC	Homo sapiens	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors
MA0100.3_MYB	MA0100.3	MYB	Homo sapiens	Tryptophan cluster factors	Myb/SANT domain factors
MA0104.4_MYCN	MA0104.4	MYCN	Homo sapiens	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors
MA1109.1_NEUROD1	MA1109.1	NEUROD1	Homo sapiens	Basic helix-loop-helix factors (bHLH)	Tal-related factors
MA0161.2_NFIC	MA0161.2	NFIC	Homo sapiens	SMAD/NF-1 DNA-binding domain factors	Nuclear factor 1
MA0060.3_NFYA	MA0060.3	NFYA	Homo sapiens	Other alpha	NFY
MA1110.1_NR1H4	MA1110.1	NR1H4	Homo sapiens	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
MA1111.1_NR2F2	MA1111.1	NR2F2	Homo sapiens	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
MA0014.3_PAX5	MA0014.3	PAX5	Homo sapiens	Paired box factors	Paired domain only
MA1114.1_PBX3	MA1114.1	PBX3	Homo sapiens	Homeo domain factors	TALE-type homeo domain factors
MA1115.1_POU5F1	MA1115.1	POU5F1	Homo sapiens	Homeo domain factors	POU domain factors
MA1116.1_RBPJ	MA1116.1	RBPJ	Homo sapiens	Rel homology region (RHR) factors	CSL-related factors
MA1117.1_RELB	MA1117.1	RELB	Homo sapiens	Rel homology region (RHR) factors	NF-kappaB-related factors
MA1118.1_SIX1	MA1118.1	SIX1	Homo sapiens	Homeo domain factors	HD-SINE factors
MA1119.1_SIX2	MA1119.1	SIX2	Homo sapiens	Homeo domain factors	HD-SINE factors
MA0442.2_SOX10	MA0442.2	SOX10	Homo sapiens	High-mobility group (HMG) domain factors	SOX-related factors
MA1120.1_SOX13	MA1120.1	SOX13	Homo sapiens	High-mobility group (HMG) domain factors	SOX-related factors
MA1121.1_TEAD2	MA1121.1	TEAD2	Homo sapiens	TEA domain factors	TEF-1-related factors
MA1122.1_TFDP1	MA1122.1	TFDP1	Homo sapiens	Fork head / winged helix factors	E2F-related factors
MA0750.2_ZBTB7A	MA0750.2	ZBTB7A	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0103.3_ZEB1	MA0103.3	ZEB1	Homo sapiens	Homeo domain factors	HD-ZF factors
MA1124.1_ZNF24	MA1124.1	ZNF24	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA1125.1_ZNF384	MA1125.1	ZNF384	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA1154.1_ZNF282	MA1154.1	ZNF282	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA1155.1_ZSCAN4	MA1155.1	ZSCAN4	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0037.3_GATA3	MA0037.3	GATA3	Homo sapiens	Other C4 zinc finger-type factors	GATA-type zinc fingers
MA0099.3_FOS::JUN	MA0099.3	FOS::JUN	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA0099.3_FOS::JUN	MA0099.3	FOS::JUN	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA1126.1_FOS::JUN(var.2)	MA1126.1	FOS::JUN(var.2)	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA1126.1_FOS::JUN(var.2)	MA1126.1	FOS::JUN(var.2)	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA1127.1_FOSB::JUN	MA1127.1	FOSB::JUN	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA1127.1_FOSB::JUN	MA1127.1	FOSB::JUN	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA1128.1_FOSL1::JUN	MA1128.1	FOSL1::JUN	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA1128.1_FOSL1::JUN	MA1128.1	FOSL1::JUN	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA1129.1_FOSL1::JUN(var.2)	MA1129.1	FOSL1::JUN(var.2)	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA1129.1_FOSL1::JUN(var.2)	MA1129.1	FOSL1::JUN(var.2)	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA1130.1_FOSL2::JUN	MA1130.1	FOSL2::JUN	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA1130.1_FOSL2::JUN	MA1130.1	FOSL2::JUN	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA1131.1_FOSL2::JUN(var.2)	MA1131.1	FOSL2::JUN(var.2)	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA1131.1_FOSL2::JUN(var.2)	MA1131.1	FOSL2::JUN(var.2)	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA1132.1_JUN::JUNB	MA1132.1	JUN::JUNB	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA1133.1_JUN::JUNB(var.2)	MA1133.1	JUN::JUNB(var.2)	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA1134.1_FOS::JUNB	MA1134.1	FOS::JUNB	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA1134.1_FOS::JUNB	MA1134.1	FOS::JUNB	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA1135.1_FOSB::JUNB	MA1135.1	FOSB::JUNB	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA1135.1_FOSB::JUNB	MA1135.1	FOSB::JUNB	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA1136.1_FOSB::JUNB(var.2)	MA1136.1	FOSB::JUNB(var.2)	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA1136.1_FOSB::JUNB(var.2)	MA1136.1	FOSB::JUNB(var.2)	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA1137.1_FOSL1::JUNB	MA1137.1	FOSL1::JUNB	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA1137.1_FOSL1::JUNB	MA1137.1	FOSL1::JUNB	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA1138.1_FOSL2::JUNB	MA1138.1	FOSL2::JUNB	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA1138.1_FOSL2::JUNB	MA1138.1	FOSL2::JUNB	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA1139.1_FOSL2::JUNB(var.2)	MA1139.1	FOSL2::JUNB(var.2)	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA1139.1_FOSL2::JUNB(var.2)	MA1139.1	FOSL2::JUNB(var.2)	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA1141.1_FOS::JUND	MA1141.1	FOS::JUND	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA1141.1_FOS::JUND	MA1141.1	FOS::JUND	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA1142.1_FOSL1::JUND	MA1142.1	FOSL1::JUND	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA1142.1_FOSL1::JUND	MA1142.1	FOSL1::JUND	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA1143.1_FOSL1::JUND(var.2)	MA1143.1	FOSL1::JUND(var.2)	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA1143.1_FOSL1::JUND(var.2)	MA1143.1	FOSL1::JUND(var.2)	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA1144.1_FOSL2::JUND	MA1144.1	FOSL2::JUND	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA1144.1_FOSL2::JUND	MA1144.1	FOSL2::JUND	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA1145.1_FOSL2::JUND(var.2)	MA1145.1	FOSL2::JUND(var.2)	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA1145.1_FOSL2::JUND(var.2)	MA1145.1	FOSL2::JUND(var.2)	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA1146.1_NR1H4::RXRA	MA1146.1	NR1H4::RXRA	Homo sapiens	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
MA1146.1_NR1H4::RXRA	MA1146.1	NR1H4::RXRA	Homo sapiens	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
MA1147.1_NR4A2::RXRA	MA1147.1	NR4A2::RXRA	Homo sapiens	Nuclear receptors with C4 zinc fingers	NGFI-B-related receptors (NR4)
MA1147.1_NR4A2::RXRA	MA1147.1	NR4A2::RXRA	Homo sapiens	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
MA1148.1_PPARA::RXRA	MA1148.1	PPARA::RXRA	Homo sapiens	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
MA1148.1_PPARA::RXRA	MA1148.1	PPARA::RXRA	Homo sapiens	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
MA1149.1_RARA::RXRG	MA1149.1	RARA::RXRG	Homo sapiens	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
MA1149.1_RARA::RXRG	MA1149.1	RARA::RXRG	Homo sapiens	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
MA1150.1_RORB	MA1150.1	RORB	Homo sapiens	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
MA1151.1_RORC	MA1151.1	RORC	Homo sapiens	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
MA1152.1_SOX15	MA1152.1	SOX15	Homo sapiens	High-mobility group (HMG) domain factors	SOX-related factors
MA0831.2_TFE3	MA0831.2	TFE3	Homo sapiens	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors
MA0693.2_VDR	MA0693.2	VDR	Homo sapiens	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
